ID,Lon,Lat,MS_bathy_5m,BO21_tempmean_bdmean,BO21_temprange_bdmean,BO21_tempmean_ss,BO21_temprange_ss,BO21_RCP26_2050_tempmean_bdmean,BO21_RCP45_2050_tempmean_bdmean,BO21_RCP60_2050_tempmean_bdmean,BO21_RCP85_2050_tempmean_bdmean,BO21_RCP26_2100_tempmean_bdmean,BO21_RCP45_2100_tempmean_bdmean,BO21_RCP60_2100_tempmean_bdmean,BO21_RCP85_2100_tempmean_bdmean,BO21_RCP26_2050_temprange_bdmean,BO21_RCP45_2050_temprange_bdmean,BO21_RCP60_2050_temprange_bdmean,BO21_RCP85_2050_temprange_bdmean,BO21_RCP26_2100_temprange_bdmean,BO21_RCP45_2100_temprange_bdmean,BO21_RCP60_2100_temprange_bdmean,BO21_RCP85_2100_temprange_bdmean,BO21_RCP26_2050_tempmean_ss,BO21_RCP45_2050_tempmean_ss,BO21_RCP60_2050_tempmean_ss,BO21_RCP85_2050_tempmean_ss,BO21_RCP26_2100_tempmean_ss,BO21_RCP45_2100_tempmean_ss,BO21_RCP60_2100_tempmean_ss,BO21_RCP85_2100_tempmean_ss,BO21_RCP26_2050_temprange_ss,BO21_RCP45_2050_temprange_ss,BO21_RCP60_2050_temprange_ss,BO21_RCP85_2050_temprange_ss,BO21_RCP26_2100_temprange_ss,BO21_RCP45_2100_temprange_ss,BO21_RCP60_2100_temprange_ss,BO21_RCP85_2100_temprange_ss
74,-9.625,51.45833333333333,-33,11.282,5.872,12.153,8.521,11.464,11.491,11.394,11.628,11.423,11.756,12.094,12.826,5.996,6.181,6.302,6.29,5.957,6.106,6.414,5.927,12.734,12.906,12.587,12.895,12.596,12.861,13.468,14.531,9.708,9.747,9.895,9.84,9.04,9.562,9.929,10.27
75,-1.375,49.87499999999999,-60,11.71,9.188,12.947,10.53,12.347,12.215,12.113,12.426,12.096,12.439,12.905,13.719,9.403,9.403,9.522,9.512,9.521,9.075,9.325,8.785,13.908,14.084,13.721,14.154,13.667,14.008,14.727,16.012,10.64,11.139,11.016,12.336,11.387,11.001,11.352,11.77
76,2.208333333333332,56.70833333333333,-80,8.083,6.51,10.559,11.601,8.42,8.389,8.256,8.604,8.313,8.749,8.934,10.034,6.296,6.424,6.662,6.808,6.276,6.116,6.672,5.76,11.261,11.519,11.079,11.602,11.234,11.43,12.03,13.481,12.013,12.218,12.226,12.482,12.529,11.607,12.769,12.793
77,-10.541666666666666,52.12499999999999,-38,11.622,6.96,12.107,8.209,11.711,11.703,11.622,11.804,11.698,11.983,12.223,13.027,7.426,7.356,7.868,7.746,7.375,7.655,7.583,7.554,12.483,12.672,12.35,12.608,12.413,12.566,13.143,14.098,9.311,9.281,9.519,9.391,8.713,9.005,9.609,9.707
78,1.791666666666666,55.12499999999999,-23,10.286,12.221,10.771,12.808,11.13,11.067,10.859,11.368,10.941,11.438,11.794,13.131,12.641,12.983,12.889,13.271,13.356,12.923,13.06,13.096,11.594,11.866,11.381,11.922,11.493,11.685,12.365,13.844,12.857,13.312,13.206,13.707,13.85,12.84,13.534,13.773
79,-10.541666666666666,53.70833333333333,-104,10.269,2.688,12.025,7.814,10.233,10.45,10.366,10.569,10.368,10.852,11.219,12.394,3.288,3.532,3.465,3.583,3.344,3.334,3.291,3.339,12.134,12.359,12.047,12.243,12.032,12.21,12.752,13.627,8.991,8.83,9.022,9.044,8.473,8.522,9.045,9.213
80,-0.875,54.95833333333333,-67,8.409,7.201,10.445,11.069,8.892,8.848,8.709,9.083,8.673,9.137,9.403,10.385,7.181,7.433,7.58,7.723,7.111,7.007,7.4,6.691,11.314,11.554,11.134,11.676,10.972,11.315,12.008,13.377,11.24,11.613,11.767,11.875,11.661,11.454,11.69,12.657
81,-3.125,51.45833333333333,-4,12.4,12.599,12.41,12.997,13.318,13.198,13.1,13.516,13.099,13.726,14.154,15.471,13.197,13.119,13.616,14.319,13.422,14.242,13.683,14.374,13.354,13.504,13.157,13.549,13.141,13.54,14.239,15.587,13.599,14.127,13.969,14.766,13.715,14.175,14.063,14.861
82,-5.958333333333334,50.541666666666664,-80,10.538,4.278,12.86,9.027,11.078,10.951,10.874,11.177,10.832,11.292,11.71,12.516,4.687,4.62,4.705,4.911,4.543,4.515,4.355,4.313,13.672,13.773,13.459,13.796,13.449,13.77,14.456,15.682,10.09,10.372,10.303,10.612,9.695,10.467,10.325,11.212
83,-6.291666666666667,51.291666666666664,-108,10.35,3.041,12.778,9.499,10.693,10.681,10.542,10.858,10.513,10.994,11.408,12.349,3.219,3.427,3.314,3.613,3.239,3.432,3.367,3.528,13.627,13.715,13.412,13.748,13.377,13.723,14.415,15.646,10.679,10.791,10.822,11.056,10.151,10.803,10.723,11.59
84,-8.291666666666668,54.62499999999999,-17,11.431,8.347,11.591,9.446,11.662,11.64,11.511,11.732,11.563,11.949,12.249,13.091,8.444,8.426,8.79,8.787,8.212,8.69,8.821,8.53,11.957,12.083,11.717,11.991,11.803,12.038,12.53,13.51,10.172,10.243,10.482,10.652,9.472,10.052,10.194,10.527
